"Name","Location Type","Location",
"Address (2)",,,
"BSWTMDSPXP02-192.168.121.76","Device Groups","TPDC-USREDGE",
"BSWTMDSPXP02-192.168.121.76","Device Groups","TPEE-EFW",
"Address Group (4)",,,
"FR-435_Src_Grp","Device Groups","TPDC-USREDGE",
"FR-435_Src_Grp","Device Groups","TPEE-EFW",
"Servers_DMZ_2121_MgtGroup","Device Groups","TPDC-USREDGE",
"Servers_DMZ_2121_MgtGroup","Device Groups","TPEE-EFW",
